city,year,submitted,issued,resolved,publishable
los-angeles,2020,4402,3579,0.813,yes
los-angeles,2021,4898,4067,0.83,yes
los-angeles,2022,5286,4304,0.814,yes
los-angeles,2023,4567,3641,0.797,yes
los-angeles,2024,4582,3677,0.802,yes
los-angeles,2025,4830,3517,0.728,no
los-angeles,2026,2585,929,0.359,no
seattle,2015,92,89,0.967,yes
seattle,2016,100,92,0.92,yes
seattle,2017,138,124,0.899,yes
seattle,2018,106,95,0.896,yes
seattle,2019,120,102,0.85,yes
seattle,2020,160,152,0.95,yes
seattle,2021,152,140,0.921,yes
seattle,2022,136,116,0.853,yes
seattle,2023,121,110,0.909,yes
seattle,2024,129,114,0.884,yes
seattle,2025,91,81,0.89,yes
seattle,2026,75,32,0.427,no
san-francisco,2015,241,212,0.88,yes
san-francisco,2016,232,199,0.858,yes
san-francisco,2017,254,210,0.827,yes
san-francisco,2018,222,189,0.851,yes
san-francisco,2019,257,205,0.798,yes
san-francisco,2020,220,154,0.7,no
san-francisco,2021,215,157,0.73,no
san-francisco,2022,181,139,0.768,yes
san-francisco,2023,150,132,0.88,yes
san-francisco,2024,119,108,0.908,yes
san-francisco,2025,193,162,0.839,yes
san-francisco,2026,144,67,0.465,no
san-diego,2015,1274,1152,0.904,yes
san-diego,2016,1421,1281,0.901,yes
san-diego,2017,843,720,0.854,yes
san-diego,2018,867,726,0.837,yes
san-diego,2019,897,723,0.806,yes
san-diego,2020,725,590,0.814,yes
san-diego,2021,1506,1158,0.769,yes
san-diego,2022,1734,1252,0.722,no
san-diego,2023,2041,1412,0.692,no
san-diego,2024,1917,1279,0.667,no
san-diego,2025,2238,1034,0.462,no
san-diego,2026,1040,203,0.195,no
