city,dimension,group,n,suppressed,p25,median,p75,p90,within_30,within_60,within_90,within_180,within_365,mature_years
los-angeles,overall,all,15689,no,69,144,272,484,9,22,33,59,84,2021;2022;2023;2024
los-angeles,review_track,Regular Plan Check,4610,no,146,243,414,633,0,3,9,34,70,2021;2022;2023;2024
los-angeles,review_track,Expanded Counter Plan Check,9180,no,53,112,206,369,11,29,42,70,90,2021;2022;2023;2024
los-angeles,review_track,Plan Check at Counter,1898,no,47,106,218,399,17,32,45,70,88,2021;2022;2023;2024
los-angeles,review_track,Appointment Plan Check,1,yes,,,,,,,,,,2021;2022;2023;2024
los-angeles,project,adu,14868,no,70,145,272,485,9,22,32,59,84,2021;2022;2023;2024
los-angeles,project,habitable-room,821,no,61,133,266,457,12,25,37,61,85,2021;2022;2023;2024
los-angeles,permit_type_group,addition,6384,no,92,174,308,530,5,14,24,52,81,2021;2022;2023;2024
los-angeles,permit_type_group,alteration,7907,no,49,108,204,381,13,31,44,71,89,2021;2022;2023;2024
los-angeles,permit_type_group,new-construction,1070,no,176,280,460,748,0,2,4,27,63,2021;2022;2023;2024
los-angeles,project_and_permit_type,adu|addition,6008,no,95,175,308,530,5,14,24,51,81,2021;2022;2023;2024
los-angeles,project_and_permit_type,adu|alteration,7583,no,50,109,207,386,13,30,43,70,89,2021;2022;2023;2024
los-angeles,project_and_permit_type,adu|new-construction,971,no,176,282,463,748,0,2,5,26,63,2021;2022;2023;2024
los-angeles,project_and_permit_type,habitable-room|addition,376,no,70,146,295,514,6,19,34,56,82,2021;2022;2023;2024
los-angeles,project_and_permit_type,habitable-room|new-construction,99,no,169,258,427,718,0,0,2,28,68,2021;2022;2023;2024
los-angeles,project_and_permit_type,habitable-room|alteration,324,no,35,84,165,288,23,40,54,78,94,2021;2022;2023;2024
seattle,overall,all,421,no,63,112,187,302,11,23,38,73,94,2022;2023;2024;2025
seattle,review_track,Addition/Alteration,318,no,55,99,167,276,13,27,45,78,95,2022;2023;2024;2025
seattle,review_track,New,98,no,112,170,222,373,4,9,16,57,90,2022;2023;2024;2025
seattle,review_track,Change of Use Only - No Construction,3,yes,,,,,,,,,,2022;2023;2024;2025
seattle,review_track,Demolition,2,yes,,,,,,,,,,2022;2023;2024;2025
seattle,project,adu,370,no,73,119,193,313,5,18,34,71,94,2022;2023;2024;2025
seattle,project,habitable-room,51,no,2,9,105,223,57,63,71,84,94,2022;2023;2024;2025
seattle,permit_type_group,alteration,417,no,63,112,187,302,11,23,38,73,94,2022;2023;2024;2025
seattle,permit_type_group,addition,4,yes,,,,,,,,,,2022;2023;2024;2025
seattle,project_and_permit_type,adu|alteration,370,no,73,119,193,313,5,18,34,71,94,2022;2023;2024;2025
seattle,project_and_permit_type,habitable-room|alteration,47,no,1,6,103,223,62,66,72,87,96,2022;2023;2024;2025
seattle,project_and_permit_type,habitable-room|addition,4,yes,,,,,,,,,,2022;2023;2024;2025
san-francisco,overall,all,541,no,14,69,219,485,35,47,55,69,86,2022;2023;2024;2025
san-francisco,review_track,additions alterations or repairs,166,no,187,278,515,831,0,0,1,23,62,2022;2023;2024;2025
san-francisco,review_track,otc alterations permit,373,no,7,30,75,180,51,69,79,90,97,2022;2023;2024;2025
san-francisco,review_track,new construction wood frame,1,yes,,,,,,,,,,2022;2023;2024;2025
san-francisco,review_track,grade or quarry or fill or excavate,1,yes,,,,,,,,,,2022;2023;2024;2025
san-francisco,project,adu,80,no,175,265,489,694,11,13,13,29,65,2022;2023;2024;2025
